2019-03-22 11:50:01|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:01|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:01|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:01|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:01|statf.go:101|DEBUG|stat report
2019-03-22 11:50:01|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:50:01|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:50:11|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:50:11|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:11|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:11|adapter.go:83|DEBUG|send req:7
2019-03-22 11:50:11|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:11|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:11|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:11|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:11|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:11|statf.go:166|DEBUG|report err:servant name () format error
